Designator,Mid X,Mid Y,Rotation,Layer
BT1,120.4,-121.4,0.0,top
C1,139.0,-67.1,270.0,top
C10,84.925,-82.6,180.0,top
C11,104.175,-91.8,0.0,top
C2,110.0,-62.8,270.0,top
C3,110.0,-59.2,90.0,top
C4,148.7,-67.1,270.0,top
C5,96.4,-62.7,180.0,top
C6,95.4,-96.6,270.0,top
C7,104.4,-55.6,180.0,top
C8,157.475,-97.225,0.0,top
C9,157.45,-95.0,0.0,top
D2,117.4,-86.7375,90.0,top
D3,90.625,-69.7,180.0,top
D5,120.2,-86.7375,90.0,top
D6,123.0,-86.7375,90.0,top
D7,91.2125,-55.625,0.0,top
J1,161.67,-105.15,180.0,top
J2,81.066667,-95.886667,270.0,top
J3,82.45625,-74.0375,270.0,top
J6,143.14,-80.175,90.0,top
J7,143.14,-73.025,90.0,top
J8,145.68,-87.325,90.0,top
Q1,98.75,-67.1,270.0,top
R1,141.25,-67.12,90.0,top
R10,91.3,-73.0,0.0,top
R11,123.0,-82.9,270.0,top
R12,90.6,-67.4,0.0,top
R13,103.4,-87.975,180.0,top
R14,95.0125,-55.725,180.0,top
R15,90.4625,-80.875,180.0,top
R4,150.85,-67.0625,90.0,top
R5,134.95,-80.175,180.0,top
R6,135.025,-86.4125,90.0,top
R7,117.4,-82.9,270.0,top
R8,135.6,-102.6,0.0,top
R9,120.2,-82.9,270.0,top
SW1,139.0,-59.3,90.0,top
SW2,148.6,-59.3,90.0,top
U1,102.4,-60.4,0.0,top
U2,121.241239,-65.74,0.0,top
U3,91.0,-95.025,0.0,top
U5,146.2,-99.575,0.0,top
U6,100.44,-91.775,180.0,top
U7,91.8,-76.35,0.0,top
